"Age";"M";"F";"Total";"Male_share";"Female_share"
"0-4";5718489;5486968;11205457;"0.51033073";"0.48966927"
"5-9";4786609;4661698;9448307;"0.50661023";"0.49338977"
"10-14";4365379;4268963;8634342;"0.50558329";"0.49441671"
"15-19";4273245;4210757;8484002;"0.50368270";"0.49631730"
"20-24";3835816;3889727;7725543;"0.49651086";"0.50348914"
"25-29";2821898;3363222;6185120;"0.45623981";"0.54376019"
"30-34";2360210;2841997;5202207;"0.45369398";"0.54630602"
"35-39";2376106;2671968;5048074;"0.47069556";"0.52930444"
"40-44";2198955;2284023;4482978;"0.49051211";"0.50948789"
"45-49";1994421;1964693;3959114;"0.50375438";"0.49624562"
"50-54";1700163;1653970;3354133;"0.50688598";"0.49311402"
"55-59";1365415;1363251;2728666;"0.50039653";"0.49960347"
"60-64";1095616;1182102;2277718;"0.48101477";"0.51898523"
"65-69";788987;968877;1757864;"0.44883279";"0.55116721"
"70-74";535760;735573;1271333;"0.42141595";"0.57858405"
"75-79";263431;411438;674869;"0.39034390";"0.60965610"
"80-84";93967;175731;269698;"0.34841564";"0.65158436"
"85-89";23773;53205;76978;"0.30882850";"0.69117150"
"90-94";3838;10190;14028;"0.27359567";"0.72640433"
"95-99";387;1149;1536;"0.25195312";"0.74804688"
"100+";34;83;117;"0.29059829";"0.70940171"
